source_id,source_name,recommended_id,recommended_name,similarity_score
279258712,Sách Host Club Trường Ouran,278788044,Sách BEASTARS [Chọn Tập Lẻ,1.0
279258712,Sách Host Club Trường Ouran,276425570,Thám Tử Lừng Danh Conan (Bản Nâng Cấp) - [Chọn Tập Lẻ,1.0
279258712,Sách Host Club Trường Ouran,263698219,Bluelock Tập 10,1.0
279258712,Sách Host Club Trường Ouran,273587157,Luật Hôn nhân và gia đình (hiện hành),0.9979848007623358
279258712,Sách Host Club Trường Ouran,275604151,Sách giáo khoa Toán 9- Tập một- Kết Nối Tri Thức Với Cuộc Sống (Kèm Nilon bọc Sách),0.9979848007622811
279218500,Ship of Theseus - NXB Trẻ,276833162,Sách Chuyện Con Mèo Dạy Hải Âu Bay,0.9991929444783749
279218500,Ship of Theseus - NXB Trẻ,278710197,Rắc Rối Đáng Yêu - Love☆Com,0.9959777072459769
279218500,Ship of Theseus - NXB Trẻ,278948458,Sách Vòng Lặp Thứ 7 Của Tiểu Thư Phản Diện - Cuộc Sống Hôn Nhân Tự Tại Giữa Lòng Địch Quốc (Chọn Tập Lẻ),0.9959777072459769
279218500,Ship of Theseus - NXB Trẻ,267178870,Doraemon Tuyển Tập Tranh Truyện Màu - Tập 1,0.9959777072459769
279218500,Ship of Theseus - NXB Trẻ,275881767,Series các tập Thiên hà cạnh bên,0.9959777072459769
279157961,Sách Hikaru - Kì Thủ Cờ Vây - Ultimate Edition ( Chọn Tập),160370181,Khói Trời Lộng Lẫy (Tập Truyện Ngắn Nguyễn Ngọc Tư)(Tái Bản),0.9991929444783064
279157961,Sách Hikaru - Kì Thủ Cờ Vây - Ultimate Edition ( Chọn Tập),277874446,Sách Lá cờ bên chiếc ba lô,0.9989954145107983
279157961,Sách Hikaru - Kì Thủ Cờ Vây - Ultimate Edition ( Chọn Tập),129381392,Cuốn Sách Tranh Đầu Tiên Về Quốc Kỳ (Ehon Nhật Bản),0.997180993411258
279157961,Sách Hikaru - Kì Thủ Cờ Vây - Ultimate Edition ( Chọn Tập),278968251,Hàng Xóm Của Tôi TOTORO (Truyện tranh màu) - [Chọn Tập Lẻ,0.9961780532342466
279157961,Sách Hikaru - Kì Thủ Cờ Vây - Ultimate Edition ( Chọn Tập),272367381,Sách Trốn Lên Mái Nhà Để Khóc,0.9961780532342323
279112904,Thám Tử Lừng Danh Conan - Tập 107,278706881,Itto - Sóng Gió Cầu Trường - [Tái Bản 2025,0.9999999789265761
279112904,Thám Tử Lừng Danh Conan - Tập 107,278523761,Siêu Quậy Teppei Tập 1 – Tập 31 - Tập 1,0.9999999789265761
279112904,Thám Tử Lừng Danh Conan - Tập 107,271535830,Shin - Cậu Bé Bút Chì - Tập 45,0.9999999789265761
279112904,Thám Tử Lừng Danh Conan - Tập 107,279395889,Sách One Piece - Tập 110,0.9999999789265761
279112904,Thám Tử Lừng Danh Conan - Tập 107,243023702,Doraemon - Chú Mèo Máy Đến Từ Tương Lai Tập 33 (Tái Bản),0.9999999789265761
278997061,Sách Tô Màu Phát Triển Trí Não Bộ Cho Bé 1-5 Tuổi - [Từ Tập 11 - Tập 20] - Chọn Tập Lẻ,1215673,Sách Từ Những Hạt Mầm: Kiến Đen Tìm Mè,0.9988745163366259
278997061,Sách Tô Màu Phát Triển Trí Não Bộ Cho Bé 1-5 Tuổi - [Từ Tập 11 - Tập 20] - Chọn Tập Lẻ,1215677,Sách Từ Những Hạt Mầm: Hột Điều Của Sóc,0.9978681683783222
278997061,Sách Tô Màu Phát Triển Trí Não Bộ Cho Bé 1-5 Tuổi - [Từ Tập 11 - Tập 20] - Chọn Tập Lẻ,195623864,Truyện tranh tuổi thần tiên - Chú thỏ tinh khôn,0.9978681683783222
278997061,Sách Tô Màu Phát Triển Trí Não Bộ Cho Bé 1-5 Tuổi - [Từ Tập 11 - Tập 20] - Chọn Tập Lẻ,572946,Sách Bé Tập Kể Chuyện - Bác Gấu Đen Và Hai Chú Thỏ,0.9944617011461035
278997061,Sách Tô Màu Phát Triển Trí Não Bộ Cho Bé 1-5 Tuổi - [Từ Tập 11 - Tập 20] - Chọn Tập Lẻ,87120315,Sách Yêu Thương Và Bảo Vệ Hành Tinh Xanh - Biến Đổi Khí Hậu,0.9918724076131931
278968251,Hàng Xóm Của Tôi TOTORO (Truyện tranh màu) - [Chọn Tập Lẻ,129381392,Cuốn Sách Tranh Đầu Tiên Về Quốc Kỳ (Ehon Nhật Bản),0.9989913841002265
278968251,Hàng Xóm Của Tôi TOTORO (Truyện tranh màu) - [Chọn Tập Lẻ,120219394,Sách Tôi Nói Gì Khi Nói Về Chạy Bộ,0.9983469369998689
278968251,Hàng Xóm Của Tôi TOTORO (Truyện tranh màu) - [Chọn Tập Lẻ,278756955,Sách Nơi Trú Ẩn Bình Yên,0.9979566456217414
278968251,Hàng Xóm Của Tôi TOTORO (Truyện tranh màu) - [Chọn Tập Lẻ,160370181,Khói Trời Lộng Lẫy (Tập Truyện Ngắn Nguyễn Ngọc Tư)(Tái Bản),0.9969802438486691
278968251,Hàng Xóm Của Tôi TOTORO (Truyện tranh màu) - [Chọn Tập Lẻ,279157961,Sách Hikaru - Kì Thủ Cờ Vây - Ultimate Edition ( Chọn Tập),0.9961780532342466
278967562,Monster - Deluxe Edition –  [Chọn Tập Lẻ,276333510,Sách Tình Yêu Cuồng Nhiệt Sau Khi Kết Hôn,0.9995963093386616
278967562,Monster - Deluxe Edition –  [Chọn Tập Lẻ,276641306,Tiệm Sách Của Nàng - Tặng Kèm Bookmark Photostrip + Sổ Tay Màu Ngẫu Nhiên,0.9987899050243869
278967562,Monster - Deluxe Edition –  [Chọn Tập Lẻ,117238177,Sách Thư Viện Nửa Đêm,0.998387190583358
278967562,Monster - Deluxe Edition –  [Chọn Tập Lẻ,271518947,Sách 1Q84 - Tập 2,0.998387190583358
278967562,Monster - Deluxe Edition –  [Chọn Tập Lẻ,274363543,Sách Con Đường Chẳng Mấy Ai Đi,0.9963784798399515
278879928,Sách Nếu Như Không Thể Nói Nếu Như & Có Ai Giữ Giùm Những Lãng Quên & Thức Dậy Anh Vẫn Là Mơ - Tái Bản 2025,272446715,Sách Thuật Dụng Ngôn (Tái Bản),1.0
278879928,Sách Nếu Như Không Thể Nói Nếu Như & Có Ai Giữ Giùm Những Lãng Quên & Thức Dậy Anh Vẫn Là Mơ - Tái Bản 2025,57325187,Sách Người Giàu Có Nhất Thành Babylon (Tái Bản 2020),0.9994349243206009
278879928,Sách Nếu Như Không Thể Nói Nếu Như & Có Ai Giữ Giùm Những Lãng Quên & Thức Dậy Anh Vẫn Là Mơ - Tái Bản 2025,278704632,Sách Có Người Đợi Cơm,0.9984274474131369
278879928,Sách Nếu Như Không Thể Nói Nếu Như & Có Ai Giữ Giùm Những Lãng Quên & Thức Dậy Anh Vẫn Là Mơ - Tái Bản 2025,206491187,Giáo trình chuẩn YCT 3 - Sách Bài Tập,0.9975827351688922
278879928,Sách Nếu Như Không Thể Nói Nếu Như & Có Ai Giữ Giùm Những Lãng Quên & Thức Dậy Anh Vẫn Là Mơ - Tái Bản 2025,195573547,Sách Lén Nhặt Chuyện Đời,0.9967795750984424
278856619,Sách Cô Bé Hàng Xóm Và Bốn Viên Kẹo (Nguyễn Nhật Ánh) - 2 phiên bản & quà tặng kèm,272188850,Soul Eater,0.999999985098839
278856619,Sách Cô Bé Hàng Xóm Và Bốn Viên Kẹo (Nguyễn Nhật Ánh) - 2 phiên bản & quà tặng kèm,276289473,Sách Triết lý của Inamori Kazuo Chúng ta sống vì điều gì?,0.9959777072459903
278856619,Sách Cô Bé Hàng Xóm Và Bốn Viên Kẹo (Nguyễn Nhật Ánh) - 2 phiên bản & quà tặng kèm,74793313,Sách Năm Chú Heo Con,0.9959777072459903
278856619,Sách Cô Bé Hàng Xóm Và Bốn Viên Kẹo (Nguyễn Nhật Ánh) - 2 phiên bản & quà tặng kèm,54266567,Sách Nghĩ Giàu Và Làm Giàu (Bìa Mềm),0.9947773215622646
