id,name,feature_name,feature_name_original,shap_value,feature_value,shap_value_percent
313711,Sách The 48 Laws Of Power,Có đánh giá,has_rating,0.09449285391763235,1,22.279720599054926
313711,Sách The 48 Laws Of Power,Giá bán,price,-0.08254229549630565,621000,19.461993209193984
313711,Sách The 48 Laws Of Power,Thể loại: Sách nước ngoài,cat_Sách nước ngoài,0.06348236465399701,True,14.968003280875111
313711,Sách The 48 Laws Of Power,Điểm đánh giá,rating_average,0.06140801742086625,5.0,14.478909398496857
313711,Sách The 48 Laws Of Power,Mức giảm giá,discount_rate,0.06091104778400341,10,14.361732869304824
313711,Sách The 48 Laws Of Power,Thể loại: Sách tiếng Việt,cat_Sách tiếng Việt,0.04124728928639825,False,9.725371207122187
313711,Sách The 48 Laws Of Power,"Thể loại: Truyện tranh, Manga","cat_Truyện tranh, Manga",0.014858976074758777,False,3.503480121599892
313711,Sách The 48 Laws Of Power,Thể loại: Sách giáo khoa,cat_Sách giáo khoa,-0.005177617279014955,False,1.2207893143522341
314134,Sách How to Talk So Kids Will Listen and Listen So Kids Will Talk,Có đánh giá,has_rating,0.09312667929592189,1,30.026040701946958
314134,Sách How to Talk So Kids Will Listen and Listen So Kids Will Talk,Điểm đánh giá,rating_average,0.07605037041581057,5.0,24.520272115009984
314134,Sách How to Talk So Kids Will Listen and Listen So Kids Will Talk,Thể loại: Sách nước ngoài,cat_Sách nước ngoài,0.03977416843513457,True,12.824045798138348
314134,Sách How to Talk So Kids Will Listen and Listen So Kids Will Talk,Giá bán,price,-0.0296643362259125,520800,9.564418850211199
314134,Sách How to Talk So Kids Will Listen and Listen So Kids Will Talk,Thể loại: Sách tiếng Việt,cat_Sách tiếng Việt,0.024583901023722616,False,7.9263774713295865
314134,Sách How to Talk So Kids Will Listen and Listen So Kids Will Talk,"Thể loại: Truyện tranh, Manga","cat_Truyện tranh, Manga",0.016971344403864795,False,5.471925786357542
314134,Sách How to Talk So Kids Will Listen and Listen So Kids Will Talk,Thể loại: Sách giáo khoa,cat_Sách giáo khoa,-0.016688523952509658,False,5.380738401089053
314134,Sách How to Talk So Kids Will Listen and Listen So Kids Will Talk,Mức giảm giá,discount_rate,-0.013293720467446903,3,4.2861808759173226
325339,Sách Tree or Three? An Elementary Pronunciation Course (2nd Edition),Có đánh giá,has_rating,0.10737249540379576,1,24.05994908089442
325339,Sách Tree or Three? An Elementary Pronunciation Course (2nd Edition),Thể loại: Sách nước ngoài,cat_Sách nước ngoài,0.09068271815306618,True,20.320116181287354
325339,Sách Tree or Three? An Elementary Pronunciation Course (2nd Edition),Điểm đánh giá,rating_average,0.08749946080551663,3.9,19.60681423738266
325339,Sách Tree or Three? An Elementary Pronunciation Course (2nd Edition),Mức giảm giá,discount_rate,0.06752770200824247,8,15.131557348630736
325339,Sách Tree or Three? An Elementary Pronunciation Course (2nd Edition),Thể loại: Sách tiếng Việt,cat_Sách tiếng Việt,0.06701502400128061,False,15.016676841327552
325339,Sách Tree or Three? An Elementary Pronunciation Course (2nd Edition),"Thể loại: Truyện tranh, Manga","cat_Truyện tranh, Manga",0.014531193260141677,False,3.2561390010433287
325339,Sách Tree or Three? An Elementary Pronunciation Course (2nd Edition),Giá bán,price,-0.008761974302555885,496800,1.963376698797926
325339,Sách Tree or Three? An Elementary Pronunciation Course (2nd Edition),Thể loại: Sách giáo khoa,cat_Sách giáo khoa,0.002880099733015963,False,0.6453706106360272
331578,Sách Charlie and the Chocolate Factory - Charlie Và Nhà Máy Sô Cô La,Điểm đánh giá,rating_average,0.28964873025288057,4.6,43.255104704022884
331578,Sách Charlie and the Chocolate Factory - Charlie Và Nhà Máy Sô Cô La,Có đánh giá,has_rating,0.10703992899033962,1,15.984959892439468
331578,Sách Charlie and the Chocolate Factory - Charlie Và Nhà Máy Sô Cô La,Thể loại: Sách nước ngoài,cat_Sách nước ngoài,0.09047590193104019,True,13.511347375150903
331578,Sách Charlie and the Chocolate Factory - Charlie Và Nhà Máy Sô Cô La,Thể loại: Sách tiếng Việt,cat_Sách tiếng Việt,0.07178243254914861,False,10.719731562821185
331578,Sách Charlie and the Chocolate Factory - Charlie Và Nhà Máy Sô Cô La,Mức giảm giá,discount_rate,-0.04560655648285608,0,6.810719916270907
331578,Sách Charlie and the Chocolate Factory - Charlie Và Nhà Máy Sô Cô La,"Thể loại: Truyện tranh, Manga","cat_Truyện tranh, Manga",0.03376596860116334,False,5.042488900265235
331578,Sách Charlie and the Chocolate Factory - Charlie Và Nhà Máy Sô Cô La,Giá bán,price,-0.030809304527909663,429000,4.600951269661592
331578,Sách Charlie and the Chocolate Factory - Charlie Và Nhà Máy Sô Cô La,Thể loại: Sách giáo khoa,cat_Sách giáo khoa,-0.0005001886271326266,False,0.07469637936784311
331588,Sách Tiểu thuyết tiếng Anh - Wordsworth Classics: The Adventures & Memoirs of Sherlock Holmes,Mức giảm giá,discount_rate,-0.08887484188495581,0,23.726802662311684
331588,Sách Tiểu thuyết tiếng Anh - Wordsworth Classics: The Adventures & Memoirs of Sherlock Holmes,Có đánh giá,has_rating,0.0863044861895034,1,23.040598095704496
331588,Sách Tiểu thuyết tiếng Anh - Wordsworth Classics: The Adventures & Memoirs of Sherlock Holmes,Thể loại: Sách nước ngoài,cat_Sách nước ngoài,0.07573181043337861,True,20.21802439590652
